Old Name,New Name,New Name without spaces,Command,command 2
Analysis_Data_Service.rst,Analysis Data Service.rst,AnalysisDataService.rst,"git mv ""Analysis_Data_Service.rst"" ""Analysis Data Service.rst""","git mv ""Analysis Data Service.rst"" ""AnalysisDataService.rst"""
Create_an_IDF.rst,Create an IDF.rst,CreateanIDF.rst,"git mv ""Create_an_IDF.rst"" ""Create an IDF.rst""","git mv ""Create an IDF.rst"" ""CreateanIDF.rst"""
Data_Service.rst,Data Service.rst,DataService.rst,"git mv ""Data_Service.rst"" ""Data Service.rst""","git mv ""Data Service.rst"" ""DataService.rst"""
Dynamic_Factory.rst,Dynamic Factory.rst,DynamicFactory.rst,"git mv ""Dynamic_Factory.rst"" ""Dynamic Factory.rst""","git mv ""Dynamic Factory.rst"" ""DynamicFactory.rst"""
Error_Propagation.rst,Error Propagation.rst,ErrorPropagation.rst,"git mv ""Error_Propagation.rst"" ""Error Propagation.rst""","git mv ""Error Propagation.rst"" ""ErrorPropagation.rst"""
EventWorkspace.rst,Event Workspace.rst,EventWorkspace.rst,"git mv ""EventWorkspace.rst"" ""Event Workspace.rst""","git mv ""Event Workspace.rst"" ""EventWorkspace.rst"""
Facilities_File.rst,Facilities File.rst,FacilitiesFile.rst,"git mv ""Facilities_File.rst"" ""Facilities File.rst""","git mv ""Facilities File.rst"" ""FacilitiesFile.rst"""
FitConstraint.rst,Fit Constraint.rst,FitConstraint.rst,"git mv ""FitConstraint.rst"" ""Fit Constraint.rst""","git mv ""Fit Constraint.rst"" ""FitConstraint.rst"""
Framework_Manager.rst,Framework Manager.rst,FrameworkManager.rst,"git mv ""Framework_Manager.rst"" ""Framework Manager.rst""","git mv ""Framework Manager.rst"" ""FrameworkManager.rst"""
Geometry_of_Position.rst,Geometry of Position.rst,GeometryofPosition.rst,"git mv ""Geometry_of_Position.rst"" ""Geometry of Position.rst""","git mv ""Geometry of Position.rst"" ""GeometryofPosition.rst"""
Geometry_of_Shape.rst,Geometry of Shape.rst,GeometryofShape.rst,"git mv ""Geometry_of_Shape.rst"" ""Geometry of Shape.rst""","git mv ""Geometry of Shape.rst"" ""GeometryofShape.rst"""
HowToDefineGeometricShape.rst,How To Define Geometric Shape.rst,HowToDefineGeometricShape.rst,"git mv ""HowToDefineGeometricShape.rst"" ""How To Define Geometric Shape.rst""","git mv ""How To Define Geometric Shape.rst"" ""HowToDefineGeometricShape.rst"""
InstrumentDefinitionFile.rst,Instrument Definition File.rst,InstrumentDefinitionFile.rst,"git mv ""InstrumentDefinitionFile.rst"" ""Instrument Definition File.rst""","git mv ""Instrument Definition File.rst"" ""InstrumentDefinitionFile.rst"""
InstrumentParameterFile.rst,Instrument Parameter File.rst,InstrumentParameterFile.rst,"git mv ""InstrumentParameterFile.rst"" ""Instrument Parameter File.rst""","git mv ""Instrument Parameter File.rst"" ""InstrumentParameterFile.rst"""
Instrument_Data_Service.rst,Instrument Data Service.rst,InstrumentDataService.rst,"git mv ""Instrument_Data_Service.rst"" ""Instrument Data Service.rst""","git mv ""Instrument Data Service.rst"" ""InstrumentDataService.rst"""
LET_Sample_IDF.rst,LET Sample IDF.rst,LETSampleIDF.rst,"git mv ""LET_Sample_IDF.rst"" ""LET Sample IDF.rst""","git mv ""LET Sample IDF.rst"" ""LETSampleIDF.rst"""
MDHistoWorkspace.rst,MD Histo Workspace.rst,MDHistoWorkspace.rst,"git mv ""MDHistoWorkspace.rst"" ""MD Histo Workspace.rst""","git mv ""MD Histo Workspace.rst"" ""MDHistoWorkspace.rst"""
MDNorm.rst,MD Norm.rst,MDNorm.rst,"git mv ""MDNorm.rst"" ""MD Norm.rst""","git mv ""MD Norm.rst"" ""MDNorm.rst"""
MDWorkspace.rst,MD Workspace.rst,MDWorkspace.rst,"git mv ""MDWorkspace.rst"" ""MD Workspace.rst""","git mv ""MD Workspace.rst"" ""MDWorkspace.rst"""
MatrixWorkspace.rst,Matrix Workspace.rst,MatrixWorkspace.rst,"git mv ""MatrixWorkspace.rst"" ""Matrix Workspace.rst""","git mv ""Matrix Workspace.rst"" ""MatrixWorkspace.rst"""
Nexus_file.rst,Nexus File.rst,NexusFile.rst,"git mv ""Nexus_file.rst"" ""Nexus File.rst""","git mv ""Nexus File.rst"" ""NexusFile.rst"""
PeaksWorkspace.rst,Peaks Workspace.rst,PeaksWorkspace.rst,"git mv ""PeaksWorkspace.rst"" ""Peaks Workspace.rst""","git mv ""Peaks Workspace.rst"" ""PeaksWorkspace.rst"""
Point_groups.rst,Point Groups.rst,PointGroups.rst,"git mv ""Point_groups.rst"" ""Point Groups.rst""","git mv ""Point Groups.rst"" ""PointGroups.rst"""
Properties_File.rst,Properties File.rst,PropertiesFile.rst,"git mv ""Properties_File.rst"" ""Properties File.rst""","git mv ""Properties File.rst"" ""PropertiesFile.rst"""
RAW_File.rst,RAW File.rst,RAWFile.rst,"git mv ""RAW_File.rst"" ""RAW File.rst""","git mv ""RAW File.rst"" ""RAWFile.rst"""
RectangularDetector.rst,Rectangular Detector.rst,RectangularDetector.rst,"git mv ""RectangularDetector.rst"" ""Rectangular Detector.rst""","git mv ""Rectangular Detector.rst"" ""RectangularDetector.rst"""
SANS2D_Sample_IDF.rst,SANS2D Sample IDF.rst,SANS2DSampleIDF.rst,"git mv ""SANS2D_Sample_IDF.rst"" ""SANS2D Sample IDF.rst""","git mv ""SANS2D Sample IDF.rst"" ""SANS2DSampleIDF.rst"""
Shared_Pointer.rst,Shared Pointer.rst,SharedPointer.rst,"git mv ""Shared_Pointer.rst"" ""Shared Pointer.rst""","git mv ""Shared Pointer.rst"" ""SharedPointer.rst"""
Table_Workspaces.rst,Table Workspaces.rst,TableWorkspaces.rst,"git mv ""Table_Workspaces.rst"" ""Table Workspaces.rst""","git mv ""Table Workspaces.rst"" ""TableWorkspaces.rst"""
Unit_Factory.rst,Unit Factory.rst,UnitFactory.rst,"git mv ""Unit_Factory.rst"" ""Unit Factory.rst""","git mv ""Unit Factory.rst"" ""UnitFactory.rst"""
UserAlgorithms.rst,User Algorithms.rst,UserAlgorithms.rst,"git mv ""UserAlgorithms.rst"" ""User Algorithms.rst""","git mv ""User Algorithms.rst"" ""UserAlgorithms.rst"""
Using_XML_Schema.rst,Using XML Schema.rst,UsingXMLSchema.rst,"git mv ""Using_XML_Schema.rst"" ""Using XML Schema.rst""","git mv ""Using XML Schema.rst"" ""UsingXMLSchema.rst"""
Workflow_Algorithm.rst,Workflow Algorithm.rst,WorkflowAlgorithm.rst,"git mv ""Workflow_Algorithm.rst"" ""Workflow Algorithm.rst""","git mv ""Workflow Algorithm.rst"" ""WorkflowAlgorithm.rst"""
Workspace2D.rst,Workspace 2D.rst,Workspace2D.rst,"git mv ""Workspace2D.rst"" ""Workspace 2D.rst""","git mv ""Workspace 2D.rst"" ""Workspace2D.rst"""
WorkspaceGroup.rst,Workspace Group.rst,WorkspaceGroup.rst,"git mv ""WorkspaceGroup.rst"" ""Workspace Group.rst""","git mv ""Workspace Group.rst"" ""WorkspaceGroup.rst"""
